"smca","red","nombre_estacion","clave_estacion","nombre_contaminante","clave_contaminante","fecha","hora","valor","unidades","longitud","latitud"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","8","0.16","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","9","0.09","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","10","0.09","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","11","0.35","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","12","0.23","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","13","0.15","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","14","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","15","0.07","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","16","0.12","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","19","0.09","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","20","0.32","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","21","0.26","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-16","23","0.41","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","0","0.18","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","1","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","2","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","3","0.11","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","4","0.14","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","5","0.25","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","6","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","7","0.83","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","8","1.45","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","9","1.38","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","10","1.81","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","11","2.61","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","12","1.48","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","13","2.79","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","14","4.29","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","15","2.38","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","16","4","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","17","1.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","18","1.24","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","19","0.95","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","20","0.56","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","21","0.23","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","22","0.49","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-17","23","0.64","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","0","0.36","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","1","0.54","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","2","0.38","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","3","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","4","0.31","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","5","0.51","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","6","0.39","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","7","0.3","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","8","0.23","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","9","0.14","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","10","0.11","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","11","0.15","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","12","0.66","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","13","0.7","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","14","0.27","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","15","0.06","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","16","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","17","0.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","18","1.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","19","0.53","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","20","0.32","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","22","0.55","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-18","23","1.19","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","0","0.74","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","1","0.45","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","2","0.36","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","3","0.47","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","4","0.69","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","5","0.87","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","6","1.31","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","7","2.41","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","8","1.65","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","9","1.45","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","10","1.07","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","11","0.97","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","12","1.48","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","13","1.81","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","14","1.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","15","0.39","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","16","0.43","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","17","1.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","18","0.33","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","19","0.35","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","20","0.61","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","21","0.18","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","22","0.18","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-19","23","0.18","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","0","0.12","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","1","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","3","0.03","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","4","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","5","0.22","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","6","0.29","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","7","0.36","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","8","0.34","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","9","0.18","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","10","0.36","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-20","12","0.11","ppm","20.97327222","-89.62481111"
