categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t,Unnamed: 30
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H] Otros,31820.73,,,,,,,,,,,,,,,,,,,,,,,,,,,31820.73,,
[2H1] Industria de la pulpa y el papel,31820.73,,,,,,,,,,,,,,,,,,,,,,,,,,,31820.73,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Agricultura,1653781.0,100859354.57,28929208.93,,,,,,,,,,,,,,,,,,,,,,,,,131442344.51,3437.0,
[3A] Fermentación entérica,,80282859.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,80282859.0,,
[3A1] Bovino,,75783821.0,,,,,,,,,,,,,,,,,,,,,,,,,,75783821.0,,
[3A2] Ovinos,,1657771.0,,,,,,,,,,,,,,,,,,,,,,,,,,1657771.0,,
[3A3] Porcinos,,409874.0,,,,,,,,,,,,,,,,,,,,,,,,,,409874.0,,
[3A4a] Búfalos,,394798.0,,,,,,,,,,,,,,,,,,,,,,,,,,394798.0,,
[3A4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3A4d] Caprino,,1410939.0,,,,,,,,,,,,,,,,,,,,,,,,,,1410939.0,,
[3A4e] Caballos,,512991.0,,,,,,,,,,,,,,,,,,,,,,,,,,512991.0,,
[3A4f] Mulas y asnos,,112665.0,,,,,,,,,,,,,,,,,,,,,,,,,,112665.0,,
[3A4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B] Gestión del estiércol,,19821297.0,8326694.44,,,,,,,,,,,,,,,,,,,,,,,,,28147991.44,,
[3B1] Bovino,,11779883.0,6723686.0,,,,,,,,,,,,,,,,,,,,,,,,,18503569.0,,
[3B2] Ovinos,,40950.0,37815.0,,,,,,,,,,,,,,,,,,,,,,,,,78765.0,,
[3B3] Porcinos,,5798143.0,539318.0,,,,,,,,,,,,,,,,,,,,,,,,,6337461.0,,
[3B4a] Búfalos,,11612.0,38766.0,,,,,,,,,,,,,,,,,,,,,,,,,50378.0,,
[3B4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[3B4d] Caprino,,38934.0,22120.0,,,,,,,,,,,,,,,,,,,,,,,,,61054.0,,
[3B4e] Caballos,,48891.0,457703.0,,,,,,,,,,,,,,,,,,,,,,,,,506594.0,,
[3B4f] Mulas y asnos,,11134.0,77887.0,,,,,,,,,,,,,,,,,,,,,,,,,89021.0,,
[3B4g] Aves de corral,,2091750.0,429399.44,,,,,,,,,,,,,,,,,,,,,,,,,2521149.44,,
[3B4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,,,1756983.6,,,,,,,,,,,,,,,,,,,,,,,,,1756983.6,,
[3C] Cultivo del arroz,,113413.0,,,,,,,,,,,,,,,,,,,,,,,,,,113413.0,,
[3D1] Emisiones directas de los N2O de los suelos gestionados,,,12177958.5,,,,,,,,,,,,,,,,,,,,,,,,,12177958.5,,
[3D2] Emisiones indirectas de los N2O de los suelos gestionados,,,6471999.82,,,,,,,,,,,,,,,,,,,,,,,,,6471999.82,,
[3F] Emisiones de quemado de biomasa en tierras de cultivo,,641785.57,195572.58,,,,,,,,,,,,,,,,,,,,,,,,,837358.15,3437.0,
[3G] Encalado,41502.39,,,,,,,,,,,,,,,,,,,,,,,,,,,41502.39,,
[3H] aplicación de urea,1612278.61,,,,,,,,,,,,,,,,,,,,,,,,,,,1612278.61,,
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",-191088672.68,2503766.3,1233190.89,,,,,,,,,,,,,,,,,,,,,,,,,-187351715.49,5363.41,
[4A] Tierra forestales,-181504861.18,,,,,,,,,,,,,,,,,,,,,,,,,,,-181504861.18,,
[4A1] Tierras forestales que permanecen como tal,-176176418.67,,,,,,,,,,,,,,,,,,,,,,,,,,,-176176418.67,,
[4A2] Tierras convertidas a tierras forestales,-5328442.51,,,,,,,,,,,,,,,,,,,,,,,,,,,-5328442.51,,
[4B] Tierra de cultivo,-15092911.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-15092911.94,,
[4B1] Tierras de cultivo que permanecen como tal,-22711863.93,,,,,,,,,,,,,,,,,,,,,,,,,,,-22711863.93,,
[4B2] Tierras convertidas a tierras de cultivo,7618951.99,,,,,,,,,,,,,,,,,,,,,,,,,,,7618951.99,,
[4C] Praderas,10774530.95,,,,,,,,,,,,,,,,,,,,,,,,,,,10774530.95,,
[4C1] Praderas que permanecen como tal,-496605.31,,,,,,,,,,,,,,,,,,,,,,,,,,,-496605.31,,
[4C2] Tierras convertidas en praderas,11271136.27,,,,,,,,,,,,,,,,,,,,,,,,,,,11271136.27,,
[4D] Humedales,102485.26,,,,,,,,,,,,,,,,,,,,,,,,,,,102485.26,,
[4D1] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4D2] Tierras convertidas en humedales,102485.26,,,,,,,,,,,,,,,,,,,,,,,,,,,102485.26,,
[4E] Asentamientos ,609445.43,,,,,,,,,,,,,,,,,,,,,,,,,,,609445.43,,
[4E1] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4E2] Tierras convertidas en asentamientos,609445.43,,,,,,,,,,,,,,,,,,,,,,,,,,,609445.43,,
[4F] Otras tierras ,877699.24,,,,,,,,,,,,,,,,,,,,,,,,,,,877699.24,,
[4F1] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4F1] Tierras convertidas en otras tierras,877699.24,,,,,,,,,,,,,,,,,,,,,,,,,,,877699.24,,
[4(IV)] Emisiones de GEI por quemado de biomasa,,2503766.3,1233190.89,,,,,,,,,,,,,,,,,,,,,,,,,3736957.18,5363.41,
[4(IV)A] Emisiones de quemado de biomasa en tierras forestales,,2462087.23,1197174.74,,,,,,,,,,,,,,,,,,,,,,,,,3659261.96,4904.05,
[4(IV)C] Emisiones de quemado de biomasa en tierras praderas,,41679.07,36016.15,,,,,,,,,,,,,,,,,,,,,,,,,77695.22,459.36,
[4(IV)H] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[4G] Productos de madera recolectada,-6855060.44,,,,,,,,,,,,,,,,,,,,,,,,,,,-6855060.44,,
[4H] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5] Residuos,2077697.23,58968310.46,7122373.42,,,,,,,,,,,,,,,,,,,,,,,,,68168381.11,1561.27,
[5A] Eliminación de residuos sólidos,,34471017.42,,,,,,,,,,,,,,,,,,,,,,,,,,34471017.42,,
[5A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,21782794.2,,,,,,,,,,,,,,,,,,,,,,,,,,21782794.2,,
