categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
[2H1] Industria de la pulpa y el papel,39195.82,,,,,,,,,,,,,,,,,,,,,,,,,,,39195.82,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Agricultura,1112529.54,82266081.36,22804502.99,,,,,,,,,,,,,,,,,,,,,,,,,106183113.89,2950.71
[3A] Fermentación entérica,,66477579,0,,,,,,,,,,,,,,,,,,,,,,,,,66477579,
[3A1] Bovino,,62129261,,,,,,,,,,,,,,,,,,,,,,,,,,62129261,
[3A2] Ovinos,,1134229,,,,,,,,,,,,,,,,,,,,,,,,,,1134229,
[3A3] Porcinos,,328729,,,,,,,,,,,,,,,,,,,,,,,,,,328729,
[3A4a] Búfalos,,72846,,,,,,,,,,,,,,,,,,,,,,,,,,72846,
[3A4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3A4d] Caprino,,1389195,,,,,,,,,,,,,,,,,,,,,,,,,,1389195,
[3A4e] Caballos,,1017060,,,,,,,,,,,,,,,,,,,,,,,,,,1017060,
[3A4f] Mulas y asnos,,406259,,,,,,,,,,,,,,,,,,,,,,,,,,406259,
[3A4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B] Gestión del estiércol,,15039112,5766263.22,,,,,,,,,,,,,,,,,,,,,,,,,20805375.22,
[3B1] Bovino,,8736575,4016797,,,,,,,,,,,,,,,,,,,,,,,,,12753372,
[3B2] Ovinos,,26303,23599,,,,,,,,,,,,,,,,,,,,,,,,,49902,
[3B3] Porcinos,,4920079,403772,,,,,,,,,,,,,,,,,,,,,,,,,5323851,
[3B4a] Búfalos,,2143,7153,,,,,,,,,,,,,,,,,,,,,,,,,9296,
