categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
[2A3] Producción de vidrio,267029.406,,,,,,,,,,,,,,,,,,,,,,,,,,,267029.406,,
[2A4] Otros usos de carbonatos,11349482.654,,,,,,,,,,,,,,,,,,,,,,,,,,,11349482.654,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2B] Industria química,2754979.177,213399.409,363171.105,3783875.872,,,,,,,,,,,,,,,,,,,,,,,,7115425.563,,
[2B1] Producción de amoniaco,709267.656,,,,,,,,,,,,,,,,,,,,,,,,,,,709267.656,,
[2B2] Producción de ácido nítrico,,,170229.375,,,,,,,,,,,,,,,,,,,,,,,,,170229.375,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,192941.73,,,,,,,,,,,,,,,,,,,,,,,,,192941.73,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2B6] Producción de dióxido de titanio,176480.68,,,,,,,,,,,,,,,,,,,,,,,,,,,176480.68,,
[2B7] Producción de ceniza de sosa,40020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40020.0,,
[2B8] Producción petroquímica y negro de humo,1829210.841,213399.409,,,,,,,,,,,,,,,,,,,,,,,,,,2042610.25,,
[2B9] Producción fluoroquímica,,,,3783875.872,,,,,,,,,,,,,,,,,,,,,,,,3783875.872,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2C] Industria de los metales,16554661.25,3019.315,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,16557680.565,,
[2C1] Producción de hierro y acero,16263542.55,3019.315,,,,,,,,,,,,,,,,,,,,,,,,,,16266561.865,,
[2C2] Producción de ferroaleaciones,220053.2,,,,,,,,,,,,,,,,,,,,,,,,,,,220053.2,,
[2C3] Producción de aluminio,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C5] Producción de plomo,71065.5,,,,,,,,,,,,,,,,,,,,,,,,,,,71065.5,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,200645.1,,,,,,,,,,,,,,,,,,,,,,,,,,,200645.1,,
[2D1] Uso de lubricantes,169658.374,,,,,,,,,,,,,,,,,,,,,,,,,,,169658.374,,
[2D2] Uso de la cera de parafina,30986.726,,,,,,,,,,,,,,,,,,,,,,,,,,,30986.726,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E] Industria electrónica,,,113.589,263.124,,,,,,,,,,,,,,,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,498.663,3633.186,,
[2E1] Circuitos integrados o semiconductores,,,113.589,263.124,,,,,,,,,,,,,,,0.862,1012.943,565.292,113.313,0.001,40.487,0.001,1024.911,498.663,3633.186,,
[2E2] Pantalla plana tipo TFT,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,
